output_cell,original_cell,similarity_score
Myeloid Dendritic,FCGR3A+ Mono,0.0
CD8+ NKT-like,FCGR3A+ Mono,0.0
Classical Monocytes,FCGR3A+ Mono,0.0
Platelets,FCGR3A+ Mono,0.0
Naive B,FCGR3A+ Mono,0.0
Non-classical monocytes,FCGR3A+ Mono,5.0
Naive CD8+ T,FCGR3A+ Mono,0.0
Natural killer,FCGR3A+ Mono,0.0
Memory CD4+ T,FCGR3A+ Mono,0.0
Myeloid Dendritic,CD8 T,0.0
CD8+ NKT-like,CD8 T,0.0
Classical Monocytes,CD8 T,0.0
Platelets,CD8 T,0.0
Naive B,CD8 T,0.0
Non-classical monocytes,CD8 T,0.0
Naive CD8+ T,CD8 T,0.0
Natural killer,CD8 T,0.0
Memory CD4+ T,CD8 T,0.0
Myeloid Dendritic,B,0.0
CD8+ NKT-like,B,0.0
Classical Monocytes,B,0.0
Platelets,B,0.0
Naive B,B,0.0
Non-classical monocytes,B,0.0
Naive CD8+ T,B,0.0
Natural killer,B,0.0
Memory CD4+ T,B,0.0
Myeloid Dendritic,DC,0.0
CD8+ NKT-like,DC,0.0
Classical Monocytes,DC,0.0
Platelets,DC,0.0
Naive B,DC,0.0
Non-classical monocytes,DC,0.0
Naive CD8+ T,DC,0.0
Natural killer,DC,0.0
Memory CD4+ T,DC,0.0
Myeloid Dendritic,Memory CD4 T,0.0
CD8+ NKT-like,Memory CD4 T,0.0
Classical Monocytes,Memory CD4 T,0.0
Platelets,Memory CD4 T,0.0
Naive B,Memory CD4 T,0.0
Non-classical monocytes,Memory CD4 T,0.0
Naive CD8+ T,Memory CD4 T,0.0
Natural killer,Memory CD4 T,0.0
Memory CD4+ T,Memory CD4 T,5.0
Myeloid Dendritic,Naive CD4 T,0.0
CD8+ NKT-like,Naive CD4 T,0.0
Classical Monocytes,Naive CD4 T,0.0
Platelets,Naive CD4 T,0.0
Naive B,Naive CD4 T,0.0
Non-classical monocytes,Naive CD4 T,0.0
Naive CD8+ T,Naive CD4 T,0.0
Natural killer,Naive CD4 T,0.0
Memory CD4+ T,Naive CD4 T,0.0
Myeloid Dendritic,CD14+ Mono,0.0
CD8+ NKT-like,CD14+ Mono,0.0
Classical Monocytes,CD14+ Mono,5.0
Platelets,CD14+ Mono,0.0
Naive B,CD14+ Mono,0.0
Non-classical monocytes,CD14+ Mono,0.0
Naive CD8+ T,CD14+ Mono,0.0
Natural killer,CD14+ Mono,0.0
Memory CD4+ T,CD14+ Mono,0.0
Myeloid Dendritic,NK,0.0
CD8+ NKT-like,NK,0.0
Classical Monocytes,NK,0.0
Platelets,NK,0.0
Naive B,NK,0.0
Non-classical monocytes,NK,0.0
Naive CD8+ T,NK,0.0
Natural killer,NK,5.0
Memory CD4+ T,NK,0.0
Myeloid Dendritic,Platelet,0.0
CD8+ NKT-like,Platelet,0.0
Classical Monocytes,Platelet,0.0
Platelets,Platelet,5.0
Naive B,Platelet,0.0
Non-classical monocytes,Platelet,0.0
Naive CD8+ T,Platelet,0.0
Natural killer,Platelet,0.0
Memory CD4+ T,Platelet,0.0
Macrophages,FCGR3A+ Mono,0.0
Plasmacytoid Dendritic,FCGR3A+ Mono,0.0
Megakaryocyte,FCGR3A+ Mono,0.0
Macrophages,CD8 T,0.0
Plasmacytoid Dendritic,CD8 T,0.0
Megakaryocyte,CD8 T,0.0
Macrophages,B,0.0
Plasmacytoid Dendritic,B,0.0
Megakaryocyte,B,0.0
Macrophages,DC,0.0
Plasmacytoid Dendritic,DC,0.0
Megakaryocyte,DC,0.0
Macrophages,Memory CD4 T,0.0
Plasmacytoid Dendritic,Memory CD4 T,0.0
Megakaryocyte,Memory CD4 T,0.0
Macrophages,Naive CD4 T,0.0
Plasmacytoid Dendritic,Naive CD4 T,0.0
Megakaryocyte,Naive CD4 T,0.0
Macrophages,CD14+ Mono,0.0
Plasmacytoid Dendritic,CD14+ Mono,0.0
Megakaryocyte,CD14+ Mono,0.0
Macrophages,NK,0.0
Plasmacytoid Dendritic,NK,0.0
Megakaryocyte,NK,0.0
Macrophages,Platelet,0.0
Plasmacytoid Dendritic,Platelet,0.0
Megakaryocyte,Platelet,4.0
Monocyte,FCGR3A+ Mono,4.0
B,FCGR3A+ Mono,0.0
CD4+ T,FCGR3A+ Mono,0.0
Dendritic,FCGR3A+ Mono,0.0
NK,FCGR3A+ Mono,0.0
Plasmacytoid DC,FCGR3A+ Mono,0.0
Monocyte,CD8 T,0.0
B,CD8 T,0.0
CD4+ T,CD8 T,0.0
Dendritic,CD8 T,0.0
NK,CD8 T,0.0
Plasmacytoid DC,CD8 T,0.0
Monocyte,B,0.0
B,B,5.0
CD4+ T,B,0.0
Dendritic,B,0.0
NK,B,0.0
Plasmacytoid DC,B,0.0
Monocyte,DC,0.0
B,DC,0.0
CD4+ T,DC,0.0
Dendritic,DC,5.0
NK,DC,0.0
Plasmacytoid DC,DC,0.0
Monocyte,Memory CD4 T,0.0
B,Memory CD4 T,0.0
CD4+ T,Memory CD4 T,4.0
